Flow_Time*,Flow
15318,1.017135202
15319,1.001541251
15320,1.017014535
15321,1.009310616
15322,1.022949658
15323,1.03478311
15324,1.031238261
15325,1.005623373
15326,1.016642478
15327,1.00814116
15328,1.00907725
15329,1.007504321
15330,1.018327791
15331,0.996149356
15332,1.01132682
15333,0.99788453
15334,1.027455872
15335,1.029488451
15336,1.019871348
15337,1.023078823
15338,1.033868869
15339,1.032876792
15340,1.044106066
15341,1.024059258
15342,1.024137358
15343,1.019249902
15344,1.024754391
15345,1.022822704
15346,1.017386325
15347,1.005225925
15348,1.036672412
15349,1.020530975
15350,1.01492572
15351,1.026596786
15352,1.022272752
15353,1.028217285
15354,1.031016787
15355,0.994264197
15356,1.025970408
15357,1.007983992
15358,1.010138343
15359,1.014568591
15360,1.016005069
15361,1.00376675
15362,1.013679542
15363,0.979996808
15364,1.017499532
15365,1.005320652
15366,1.001005071
15367,0.98822646
15368,1.013383717
15369,0.988993463
15370,1.005351179
15371,1.002980336
15372,0.997496802
15373,0.9933153
15374,1.008307379
15375,0.986129022
15376,1.018889723
15377,1.009213544
15378,1.01950207
15379,1.012020235
15380,1.014854382
15381,1.017035003
15382,1.049963452
15383,1.030996859
15384,1.020510908
15385,1.019705627
15386,1.009781388
15387,1.017110959
15388,1.032706817
15389,1.017632718
15390,1.037269907
15391,1.016922976
15392,1.018162031
15393,1.029266625
15394,1.030210322
15395,1.015348595
15396,1.040664634
15397,1.018379636
15398,1.031138586
15399,1.00315953
15400,1.022270575
15401,1.021719042
15402,1.028024625
15403,1.002647792
15404,1.032214984
15405,1.006959627
15406,1.01052586
15407,1.011747233
15408,1.018139358
15409,1.015058233
15410,1.023368339
15411,1.002355754
15412,1.026298311
15413,1.021878349
15414,1.020895572
15415,1.009011503
15416,1.024730877
15417,1.008541978
15418,1.027448175
15419,1.009593451
15420,1.024217656
15421,1.021877261
15422,1.025693114
15423,1.021495118
15424,1.042763457
15425,1.028019671
15426,1.033195784
15427,1.025713934
15428,1.024651592
15429,1.032114566
15430,1.046680721
15431,1.019807437
15432,1.031086541
15433,1.006666128
15434,0.996576377
15435,1.007620098
15436,1.009176948
15437,0.988327166
15438,0.994982346
15439,0.97522789
15440,0.998393492
15441,1.001162159
15442,1.005070189
15443,0.999534184
15444,1.021120862
15445,0.986316428
15446,1.007573573
15447,0.987039371
15448,0.994998328
15449,0.985319939
15450,1.006222508
15451,0.998995474
15452,0.998781399
15453,0.997119212
15454,0.998445403
15455,0.991114884
15456,0.994603051
15457,0.98647654
15458,1.018885939
15459,1.006961211
15460,1.015914229
15461,1.016123884
15462,1.003088264
15463,1.001112052
15464,1.01954808
15465,0.994815853
15466,1.00516594
15467,0.997198953
15468,1.016417545
15469,1.016526771
15470,1.021144211
15471,1.007579388
15472,1.021801136
15473,1.007771865
15474,1.028789086
15475,1.022752429
15476,1.006100726
15477,1.020176936
15478,1.028859642
15479,1.027127228
15480,1.040489831
15481,1.016982757
15482,1.019695881
15483,1.024161392
15484,1.032667387
15485,1.024123704
15486,1.037912409
15487,1.02100739
15488,1.025521662
15489,1.019401404
15490,1.028826568
15491,1.033072943
15492,1.03308128
15493,1.024511096
15494,1.036220408
15495,1.021557068
15496,1.020611793
15497,1.024892218
15498,1.021976785
15499,0.99696339
15500,1.01865677
15501,0.989608637
15502,1.00252164
15503,0.997559502
15504,1.010235061
15505,1.014944495
15506,1.03324693
15507,1.029892066
15508,1.045758443
15509,1.041404529
15510,1.027619172
15511,1.02645466
15512,1.046092282
15513,1.025365598
15514,1.031544604
15515,1.020979705
15516,1.044808228
15517,1.031881072
15518,1.024194166
15519,1.022359289
15520,1.026799893
15521,1.003170011
15522,1.029207598
15523,1.025887642
15524,1.028937925
15525,1.030984128
15526,1.026989898
15527,1.030810349
15528,1.034234149
15529,1.033506629
15530,1.032182804
15531,1.001973954
15532,1.006619162
15533,1.013070961
15534,1.019880557
15535,1.008409572
15536,1.017161602
15537,0.990942524
15538,0.9890714
15539,0.990686396
15540,0.998021447
15541,0.985632485
15542,1.010890791
15543,0.994413512
15544,1.019832892
15545,1.002711665
15546,1.01706463
15547,1.022490484
15548,1.028864052
15549,1.001730382
15550,1.032990695
15551,1.020634034
15552,1.008047488
15553,1.006267327
15554,1.015173606
15555,1.020212166
15556,1.031393903
15557,1.019792272
15558,1.047769251
15559,1.015958303
15560,1.015960991
15561,1.0261453
15562,1.02710745
15563,1.015416244
15564,1.031175685
15565,1.008467826
15566,1.022026826
15567,1.017166451
15568,1.005327494
15569,1.007823698
15570,1.018847557
15571,1.010529051
15572,1.015639659
15573,0.993510589
15574,0.998807893
15575,1.003767275
15576,1.007015601
15577,0.993734751
15578,1.006704125
15579,1.001070823
15580,1.005839865
15581,0.991916095
15582,1.004737835
15583,0.987911759
15584,0.990285345
15585,0.985498946
15586,1.025043761
15587,1.03473906
15588,1.025695306
15589,1.019227721
15590,1.043226856
15591,1.025357385
15592,1.035640318
15593,1.0230483
15594,1.019020029
15595,1.001957747
15596,1.012103445
15597,1.003166343
15598,1.020413296
15599,1.002139191
15600,1.02000949
15601,1.000923155
15602,1.008404806
15603,0.99207393
15604,1.004366826
15605,0.990627623
15606,0.998969489
15607,1.008230615
15608,1.005818264
15609,0.994031048
15610,0.995192216
15611,0.976692629
15612,0.997567275
15613,0.991855639
15614,0.978689715
15615,0.98524057
15616,1.023349251
15617,1.00296724
15618,1.023310532
15619,0.99816411
15620,1.012112513
15621,0.990362464
15622,1.000412653
15623,0.983083296
15624,1.001660364
15625,0.977036013
15626,1.00147387
